dataset,column,issue,example,action_stage,planned_action
DEMO,education_level,NHANES special response codes 7 and/or 9 are present in education level.,Codes represent Refused/Don't Know responses rather than valid education categories.,cleaning,Recode special response codes 7 and 9 to missing (NaN).
BMX/BPXO/GHB,component_record,"Only 5,995 of 7,371 cohort participants (81.33%) have records in these components; 1,376 participants have no component record.","BMX, BPXO, and GHB have the same cohort coverage pattern.",modeling,Treat absence of the entire component separately from variable-level missingness. Do not impute participants who have no component record.
GLU,component_record,"Only 3,382 of 7,371 cohort participants (45.88%) have a fasting glucose component record.","3,989 cohort participants have no GLU record.",modeling,Treat GLU as a fasting subsample rather than assuming the missing participants have ordinary missing values. Use the appropriate fasting subsample weight for survey analyses.
ALL,participant_id,No missing participant IDs or duplicate participant IDs were detected in the retained source datasets.,All component datasets passed participant ID uniqueness checks.,merge,No ID-level cleaning required before one-to-one cohort merges.
DEMO,income_poverty_ratio,"1,210 cohort participants (16.42%) are missing income-poverty ratio.",Cohort-level missingness = 16.42%.,modeling,"Preserve as missing during cleaning. Decide on imputation, missing indicator, or exclusion during modeling/preprocessing."
BMX,bmi / waist_cm,"BMI is missing for 1,463 participants (19.85%) and waist circumference for 1,665 (22.59%). Most missingness comes from 1,376 participants with no BMX component record; an additional 87 BMI and 289 waist values are missing among participants with a BMX record.",Component noncoverage and within-component missingness are both present.,modeling,Keep component noncoverage separate from within-component missingness when defining the analytic sample and handling missing predictors.
BPXO,systolic_1-3 / diastolic_1-3,"Blood-pressure measurements have approximately 21.3-21.5% cohort-level missingness. 1,376 participants have no BPXO record, with an additional 191-210 missing measurements depending on reading number.",Missingness increases slightly across repeated BP readings.,feature_engineering,"Preserve individual readings during cleaning. After cleaning, derive mean systolic and mean diastolic blood pressure using available valid readings."
GHB,hba1c_pct,"HbA1c is missing for 1,662 cohort participants (22.55%). 1,376 have no GHB component record and 286 have a GHB record but no HbA1c value.","5,709 cohort participants have an HbA1c measurement.",target_definition,Preserve missing HbA1c values. Define outcome eligibility after cleaning and target construction rather than imputing HbA1c.
GLU,fasting_glucose_mg_dl,"Fasting glucose is missing for 4,197 cohort participants (56.94%). 3,989 have no GLU component record and 208 have a GLU record but no fasting glucose result.",GLU is a substantially smaller fasting subsample.,modeling,Do not impute fasting glucose across the full cohort. Use only where appropriate for secondary or subsample analyses.
SMQ,current_smoking_frequency,"Missing current smoking frequency is primarily structural. All 4,224 participants who reported not smoking at least 100 cigarettes have current_smoking_frequency missing.","ever_100_cigarettes = 2: 4,224 participants, all with current_smoking_frequency missing.",cleaning,Do not treat these values as ordinary missing data. Use ever_100_cigarettes when deriving smoking status and preserve Refused/Don't Know responses as missing/unknown.
